"","age","sex","marital_status","race","edu","wage"
"64211",41,1,0,1,13,9.39307850865535
"112973",51,2,0,1,16,10.3383496374951
"541230",34,2,0,1,14,9.30610499396056
"542188",32,1,0,1,16,9.85245738142335
"383910",31,1,0,1,12,9.85245738142335
"110503",44,2,0,2,18,10.126831083853
"160647",39,2,0,1,15,9.19573421958682
"56886",32,2,0,2,17,9.49288426657184
"120221",34,2,0,1,13,9.42262517995552
"589890",43,1,0,1,12,10.2970487561415
"575804",37,1,0,1,12,9.21084024701783
"129193",30,1,0,1,20,10.4514644419329
"414273",53,1,0,1,8,9.21084024701783
"284376",30,2,0,1,15,9.5822486965555
"135686",31,2,0,1,13,9.39307850865535
"337514",34,1,0,1,14,9.45602788772529
"498592",55,2,0,1,9,9.60407022386593
"34787",34,2,0,1,18,9.79840477608298
"263758",30,2,0,2,12,8.70034773451408
"564297",33,1,0,1,14,9.68065645240396
"216051",53,2,0,2,12,8.92332474406756
"215583",47,1,0,2,11,8.37216741936598
"506511",33,1,0,1,12,9.7412626974413
"363869",32,2,0,1,17,9.6469810975528
"389543",50,1,0,1,12,10.086017420965
"593425",31,1,0,1,17,9.47922181496425
"351850",58,2,0,1,16,8.37216741936598
"497607",46,1,0,1,12,8.96251983294953
"407815",59,1,0,1,11,9.09436819572376
"208669",31,1,0,1,15,9.92842403782616
"294781",52,2,0,1,18,10.0201588593398
"151457",33,2,0,1,12,9.43628001059239
"128578",35,1,0,1,12,6.26339826259162
"356574",36,1,0,1,13,8.18729927015515
"115273",30,1,0,1,12,8.70034773451408
"115948",31,2,0,2,12,8.98782162543081
"282387",31,1,0,1,18,7.24779258176785
"292635",33,1,0,1,12,8.85437945877111
"334131",38,1,0,1,16,10.1633486867855
"356027",50,2,0,1,19,9.82579624482026
"583510",37,1,0,1,12,9.63593485137951
"323180",36,1,0,1,12,9.05777177333158
"308374",51,2,0,1,12,7.31654817718298
"140864",49,2,0,1,19,9.21084024701783
"268411",43,1,0,1,10,9.10553525761006
"311236",36,1,0,1,13,9.35053700246947
"281466",30,1,0,2,17,9.90373752129133
"96236",30,1,0,2,5,8.84577725518844
"273914",40,1,0,2,20,7.34923082461333
"464064",56,1,0,1,12,9.5822486965555
"424432",34,1,0,1,15,9.18655984331078
"485078",36,2,0,1,12,10.086017420965
"43064",35,1,0,1,12,9.99902497924519
